title,type,date
"Jan. 6, 2018","Wednesday: Leaving fire-ravaged Santa Rosa, census fears, Silicon Valley sex parties and, finally, the California of a century ago",U.S.,"California Today: For Sale in Santa Rosa, Fire-Scorched Land"
"Jan. 6, 2018","A home for Marc Bohan’s Dior sketches and letters to Oscar de la Renta has expanded from 3,500 square feet to 6,100 square feet.",Fashion,Fashion Institute of Technology’s Library Gets a Makeover
"Jan. 7, 2018",The sixth in our seven-part series on the elements of art.,Lesson Plans,Analyzing the Elements of Art | Five Ways to Think About Space
"Jan. 8, 2018",In which we consult the Book Review’s past to shed light on the books of the present. This week: Jean Strouse and Eudora Welty on the “great books” they never finished.,Book Review,Notes From the Book Review Archives
"Jan. 8, 2018","Look closely at this graph, and join the moderated conversation about what you and other students see.",The Learning Network,"What’s Going On in This Graph? | Jan. 9, 2018"
"Jan. 9, 2018",Writers from across the political spectrum on the comments made by Stephen K. Bannon about President Trump and the president’s response.,Politics,Right and Left React to the Clash Between Trump and Bannon
"Jan. 9, 2018","January has arguably become a more important month in the TV calendar than September, with some of the most popular and ambitious shows now arriving in what used to be called midseason.",Watching,10 Shows We’ll Be Talking About in January
"Jan. 9, 2018",Roger D. Hodge’s “Texas Blood” traces seven generations of his family through some of the borderland’s least forgiving terrain.,Book Review,"An Unconventional History of Texas, From a Writer With the State in His Veins"
"Jan. 10, 2018","Also the week of Jan. 7: Female playwrights take over Washington, D.C.; and Andrey Zvyagintsev gets a retrospective at MoMA.",Arts,"Your Week in Culture: Jaamil Olawale Kosoko, the Killers, a ‘Lavender Scare’ Opera"
"Jan. 10, 2018","Mr. Mitchell, who at 83 still exudes grandness, is the subject of an exhibition at the Wallach gallery at Columbia’s Lenfest Center for the Arts.",Dance,"Arthur Mitchell, Ballet’s ‘Grandfather of Diversity’"
"Jan. 10, 2018","In 1930s Hollywood, Patricia Douglas tried to stand up to her rapist, and was destroyed. If only she’d lived to see her legacy.",Opinion,The Systematic Crushing of a #MeToo Pioneer
"Jan. 10, 2018","Her evolution from artisan to fine artist culminated in a retrospective at the Metropolitan Museum of Art, its first for a living female artist.",Obituaries,"Betty Woodman, Who Spun Pottery Into Multimedia Art, Dies at 87"
"Jan. 10, 2018",Latinos made up a disproportionately high number of the Vietnam War’s casualties.,Opinion,Soldiers in la Guerra
"Jan. 11, 2018","High-strung emus are among a veterinarian’s patients, and Amandla Stenberg stars in the adaptation of Nicola Yoon’s young-adult novel.",Television,"What’s on TV Saturday: ‘The Incredible Dr. Pol’ and ‘Everything, Everything’"
"Jan. 8, 2018",David Steinberg double dips.,Crosswords & Games,Vowel Play
"Jan. 9, 2018",Sam Ezersky evokes a childhood memory for me.,Crosswords & Games,Hypnotist’s Command
"Jan. 9, 2018","With extreme cold blanketing parts of the East Coast, there have been many opportunities for sliding and skating — even in places where it is risky and unauthorized.",U.S.,"The Reflecting Pool Isn’t a Skating Rink, Washington Tells Visitors"
"Jan. 9, 2018",Roger D. Hodge’s “Texas Blood” traces seven generations of his family through some of the borderland’s least forgiving terrain.,Book Review,"An Unconventional History of Texas, From a Writer With the State in His Veins"
"Jan. 10, 2018","Also the week of Jan. 7: Female playwrights take over Washington, D.C.; and Andrey Zvyagintsev gets a retrospective at MoMA.",Arts,"Your Week in Culture: Jaamil Olawale Kosoko, the Killers, a ‘Lavender Scare’ Opera"
"Jan. 10, 2018","Mr. Mitchell, who at 83 still exudes grandness, is the subject of an exhibition at the Wallach gallery at Columbia’s Lenfest Center for the Arts.",Dance,"Arthur Mitchell, Ballet’s ‘Grandfather of Diversity’"
"Jan. 10, 2018","In 1930s Hollywood, Patricia Douglas tried to stand up to her rapist, and was destroyed. If only she’d lived to see her legacy.",Opinion,The Systematic Crushing of a #MeToo Pioneer
"Jan. 10, 2018","Her evolution from artisan to fine artist culminated in a retrospective at the Metropolitan Museum of Art, its first for a living female artist.",Obituaries,"Betty Woodman, Who Spun Pottery Into Multimedia Art, Dies at 87"
"Jan. 10, 2018",Latinos made up a disproportionately high number of the Vietnam War’s casualties.,Opinion,Soldiers in la Guerra
"Jan. 11, 2018","High-strung emus are among a veterinarian’s patients, and Amandla Stenberg stars in the adaptation of Nicola Yoon’s young-adult novel.",Television,"What’s on TV Saturday: ‘The Incredible Dr. Pol’ and ‘Everything, Everything’"
"Sunday, March 3, 2019",David Steinberg double dips.,Crosswords & Games,Vowel Play
"Jan. 1, 2018",Sam Ezersky evokes a childhood memory for me.,Crosswords & Games,Hypnotist’s Command
"Jan. 2, 2018","With extreme cold blanketing parts of the East Coast, there have been many opportunities for sliding and skating — even in places where it is risky and unauthorized.",U.S.,"The Reflecting Pool Isn’t a Skating Rink, Washington Tells Visitors"
"Jan. 3, 2018",Writers from across the political spectrum discuss questions about the president’s mental capacity.,Politics,Right and Left React to Questions About Trump’s Mental State
"Jan. 3, 2018","The psychedelic work of Bruce Haack, an electronic-music pioneer who died in 1988, is coming to the stage.",Music,He Made Kids’ Music and Albums About Lucifer. Now His Work Is a Rock Opera.
"Jan. 3, 2018","After a discreet tug-of-war with the playwright’s estate and Yale, the University of Texas has acquired the papers, including an “Aladdin’s cave” of unpublished material.",Arts,Inside the Battle for Arthur Miller’s Archive
"Jan. 3, 2018",Frequently asked questions,Weddings,Wedding Submission FAQs
"Jan. 4, 2018","Andras Bankuti’s images of Hungary straddle the country’s complex communist period, showing struggling families, rousing political gatherings and a punk movement.",Multimedia/Photos,Behind the Iron Curtain: Intimate Views of Life in Communist Hungary
"Jan. 4, 2018",James Franco told Stephen Colbert he had “no idea” why the actress Ally Sheedy had called him out on Twitter.,Television,James Franco Denies Sexual Misconduct Accusations on Colbert’s ‘Late Show’
"Jan. 4, 2018","A new study found that the Trump administration has systematically removed, altered or played down references to climate change on federal websites.",Climate,How Much Has ‘Climate Change’ Been Scrubbed From Federal Websites? A Lot.
"Jan. 4, 2018",Events Tuesday included a video installation showcasing Michelangelo’s masterpiece in a new way and the luxury brand showing off its museum-cum-bazaar.,Style,"In Florence, the David Gets Dressed and Gucci Gets a Garden"
"Jan. 5, 2018","Her new Jim Crow-era play, “He Brought Her Heart Back in a Box,” shows that even late in an influential career, she’s not mellowing.",Theater,"Adrienne Kennedy, Playwright: Still Quiet, Still Bold, Still Furious"
"Jan. 5, 2018",Olivia Munn hosts the Critics’ Choice Awards. And watch a news special on Tonya Harding.,Television,What’s on TV Thursday: The Critics’ Choice Awards and ‘S.W.A.T.’
"Jan. 5, 2018",Writers from across the political spectrum discuss questions about the president’s mental capacity.,Politics,Right and Left React to Questions About Trump’s Mental State
"Jan. 5, 2018","The psychedelic work of Bruce Haack, an electronic-music pioneer who died in 1988, is coming to the stage.",Music,He Made Kids’ Music and Albums About Lucifer. Now His Work Is a Rock Opera.
"Jan. 6, 2018","After a discreet tug-of-war with the playwright’s estate and Yale, the University of Texas has acquired the papers, including an “Aladdin’s cave” of unpublished material.",Arts,Inside the Battle for Arthur Miller’s Archive
"Jan. 6, 2018",Frequently asked questions,Weddings,Wedding Submission FAQs
"Jan. 6, 2018","Andras Bankuti’s images of Hungary straddle the country’s complex communist period, showing struggling families, rousing political gatherings and a punk movement.",Multimedia/Photos,Behind the Iron Curtain: Intimate Views of Life in Communist Hungary
"Jan. 6, 2018",James Franco told Stephen Colbert he had “no idea” why the actress Ally Sheedy had called him out on Twitter.,Television,James Franco Denies Sexual Misconduct Accusations on Colbert’s ‘Late Show’
"Jan. 7, 2018","A new study found that the Trump administration has systematically removed, altered or played down references to climate change on federal websites.",Climate,How Much Has ‘Climate Change’ Been Scrubbed From Federal Websites? A Lot.
"Jan. 8, 2018",Events Tuesday included a video installation showcasing Michelangelo’s masterpiece in a new way and the luxury brand showing off its museum-cum-bazaar.,Style,"In Florence, the David Gets Dressed and Gucci Gets a Garden"
"Jan. 5, 2018","Her new Jim Crow-era play, “He Brought Her Heart Back in a Box,” shows that even late in an influential career, she’s not mellowing.",Theater,"Adrienne Kennedy, Playwright: Still Quiet, Still Bold, Still Furious"
"Jan. 5, 2018",Olivia Munn hosts the Critics’ Choice Awards. And watch a news special on Tonya Harding.,Television,What’s on TV Thursday: The Critics’ Choice Awards and ‘S.W.A.T.’
"Jan. 5, 2018","A book about the photographer by his longtime business manager has drawn criticism from Avedon’s friends and colleagues, who say it is riddled with errors and falsehoods.",Books,A Literary Portrait of Richard Avedon Causes Controversy
"Jan. 5, 2018","Some of yesterday’s dishes, like Greek-style broiled shrimp and spaghetti al limone, become today’s classics for a reason.",Food,"Pulled From the Past: Easy, Delicious Recipes for 2018"
"Jan. 6, 2018","A unique chronicle written from the Gulag emerged after 70 years, requiring dogged detective work to unearth the author’s identity.",Art & Design,A Diary From a Gulag Meets Evil With Lightness
"Jan. 6, 2018","Wednesday: Leaving fire-ravaged Santa Rosa, census fears, Silicon Valley sex parties and, finally, the California of a century ago",U.S.,"California Today: For Sale in Santa Rosa, Fire-Scorched Land"
"Jan. 6, 2018","A home for Marc Bohan’s Dior sketches and letters to Oscar de la Renta has expanded from 3,500 square feet to 6,100 square feet.",Fashion,Fashion Institute of Technology’s Library Gets a Makeover
"Jan. 6, 2018",The sixth in our seven-part series on the elements of art.,Lesson Plans,Analyzing the Elements of Art | Five Ways to Think About Space
"Jan. 7, 2018",In which we consult the Book Review’s past to shed light on the books of the present. This week: Jean Strouse and Eudora Welty on the “great books” they never finished.,Book Review,Notes From the Book Review Archives
"Jan. 8, 2018","Look closely at this graph, and join the moderated conversation about what you and other students see.",The Learning Network,"What’s Going On in This Graph? | Jan. 9, 2018"
"Jan. 8, 2018",Writers from across the political spectrum on the comments made by Stephen K. Bannon about President Trump and the president’s response.,Politics,Right and Left React to the Clash Between Trump and Bannon
